"","acceptedScientificName","lat","lon"
"410","Senegalia greggii Britton & Rose",36.156254,-115.42518
"411","Senegalia greggii Britton & Rose",33.64378,-116.06961
"412","Senegalia greggii Britton & Rose",35.411653,-115.897632
"413","Senegalia greggii Britton & Rose",36.1003,-115.021943
"414","Senegalia greggii Britton & Rose",33.272545,-111.194713
"415","Senegalia burkei (Benth.) Kyal. & Boatwr.",-24.309672,30.977
"416","Senegalia crassifolia Britton & Rose",25.054463,-103.270058
"417","Senegalia berlandieri Britton & Rose",28.946044,-99.62914
"418","Senegalia greggii Britton & Rose",32.758094,-99.016294
"420","Senegalia greggii Britton & Rose",31.320228,-99.212572
"421","Senegalia greggii Britton & Rose",33.732557,-115.799836
"422","Senegalia greggii Britton & Rose",34.041058,-116.595755
"423","Senegalia berlandieri Britton & Rose",29.68609,-98.590736
"424","Senegalia greggii Britton & Rose",32.185743,-104.269111
"425","Senegalia greggii Britton & Rose",34.171931,-116.55265
"426","Senegalia greggii Britton & Rose",33.623358,-116.403564
"427","Senegalia roemeriana Britton & Rose",29.529431,-98.765838
"428","Senegalia greggii Britton & Rose",28.236386,-105.503796
"429","Senegalia greggii Britton & Rose",34.135072,-116.404992
"430","Senegalia roemeriana Britton & Rose",29.617548,-99.183908
"431","Senegalia greggii Britton & Rose",33.627415,-116.44327
"432","Senegalia greggii Britton & Rose",31.963829,-102.1211
"433","Senegalia berlandieri Britton & Rose",28.014672,-98.238391
"434","Senegalia roemeriana Britton & Rose",29.650933,-100.092392
"435","Senegalia greggii Britton & Rose",33.996005,-116.138289
"436","Senegalia greggii Britton & Rose",34.17247,-112.168105
